Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,491.950012,495.299988,489.362,493.950012,382.296326,152124
2015-01-02,493.75,504.899994,493.475006,503.362,389.580841,244044
2015-01-05,503.674988,507.412994,494.412994,499.149994,386.320923,329496
2015-01-06,496.225006,497,483.75,489.212006,378.629333,886344
2015-01-07,489.274994,493.825012,487.5,491.200012,380.167999,3098952
2015-01-08,495.625,499.212006,487.75,493.638,382.054871,3151456
2015-01-09,496.25,527,478.524994,518.400024,401.219666,4515468
2015-01-12,523.763,529.75,519.062012,528.687988,409.182098,886260
2015-01-13,528.599976,528.599976,518.786987,521.812012,403.860382,372860
2015-01-14,523.75,533.75,523.224976,532.200012,411.900299,613040
2015-01-15,536,538.224976,528.625,533.487,412.896362,478052
2015-01-16,535.049988,536.838013,527.5,528.536987,409.065247,272456
2015-01-19,529.5,532.75,523.950012,525.599976,406.792114,243580
2015-01-20,525.599976,533.224976,525.112,530.588013,410.652618,275832
2015-01-21,531.549988,542.5,529.325012,541.275024,418.923981,1443200
2015-01-22,542.25,550.5,540.450012,548.924988,424.844666,337080
2015-01-23,550,555.5,541.687988,553.513,428.395599,423648
2015-01-27,553.513,554,532.75,534,413.293365,450956
2015-01-28,536.638,538.625,533.25,536.275024,415.054138,336052
2015-01-29,533.799988,537.338013,532.062012,535.724976,414.628448,632020
2015-01-30,538,540.900024,531.599976,535.687988,414.599762,967412
2015-02-02,535,537.799988,531.911987,533.588013,412.974487,257932
2015-02-03,535,535,525.763,530.088013,410.265656,294284
2015-02-04,532,537.375,532,535.513,414.464386,218144
2015-02-05,536,555,536,548.400024,424.438354,717092
2015-02-06,548.25,561.687988,548.099976,557.338013,431.356049,485972
2015-02-09,557.338013,563.75,551.599976,562.549988,435.389832,643628
2015-02-10,561.224976,574.349976,556.25,570.075012,441.213867,566624
2015-02-11,568.75,573.75,564.562012,571.799988,442.54895,242252
2015-02-12,570,580.713013,568.75,578.862,448.014648,319064
2015-02-13,577.75,581.224976,571.737,574.099976,444.32901,438924
2015-02-16,570.25,576.463013,566.5,569.625,440.865601,342164
2015-02-18,571,576.25,565.275024,573.937988,444.203674,279536
